rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
23,Fixed pairwise EB,5.815216202924151,0.14568624209417713,24886.97534617009,364.0605479638107,2.0332602056049238e-14,4.176422566924116e-14,0.004287013320286044,166.58490729704624,0.021667178555718765,
23,EB-offset hybrid: main,5.612404111342178,-0.057125849487795755,23568.095664307017,-954.8191338992619,6.2725895995199664e-09,0.4337908239317981,0.010074973476220791,233.392562713965,0.017523302895937756,12.0
23,EB-offset hybrid: pairwise,5.813055892666082,0.14352593183610818,24832.99642928764,310.0816310813607,2.7256286438051607e-09,4.2052888552070835e-09,0.004072643013602086,166.56495600912936,0.021714664612785473,2.0
24,Biased source,7.11880323628228,1.449273275452306,38479.28888888889,13956.374090682613,0.9445994020319842,1.0774891037102072,0.11348290507034922,449.9999999999999,0.0022222222222222222,
24,Main-effect EB,5.832517309299968,0.1629873484699944,21718.13626441349,-2804.778533792789,5.265686213537298e-14,0.5333914633462175,0.012823870244870101,258.1508054985083,0.012455642038144263,
24,Fixed pairwise EB,5.825654462889819,0.1561245020598454,23616.436005970325,-906.4787922359537,9.350710903586e-11,1.8317371183411862e-10,0.005435712279495639,198.14392722585518,0.023735388539827543,
24,EB-offset hybrid: main,5.840831889640992,0.17130192881101802,21758.14126420946,-2764.7735339968203,2.2178694337998076e-09,0.4914133522556079,0.012486105946872881,252.35737586348566,0.013668884278522721,7.0
24,EB-offset hybrid: pairwise,5.825420432493047,0.15589047166307335,23593.400594670617,-929.5142035356621,1.6416051272751255e-15,3.814702942565629e-15,0.0053799756500009,197.6981176339391,0.023908061408519095,3.0
25,Biased source,6.856423395072006,1.186893434242032,40000.288888888885,15477.374090682606,0.9302131544652614,1.0753699365279714,0.1187968775950841,449.9999999999999,0.0022222222222222222,
25,Main-effect EB,5.74387775143915,0.07434779060917673,23066.949770925377,-1455.9650272809013,9.089753632799799e-10,0.59941415362676,0.012835842852921098,259.69566486471166,0.013932631956675096,
25,Fixed pairwise EB,5.77439513048455,0.10486516965457682,25493.19333597342,970.2785377671426,1.0617478223469903e-13,1.7531517265866547e-13,0.0060834894851841915,194.9870510126604,0.022214694338412146,
25,EB-offset hybrid: main,5.705685289465334,0.03615532863536064,22864.382924149962,-1658.5318740563162,1.80540436929933e-09,0.5507334086659499,0.011636851382772572,253.27146776273707,0.013624053535047446,7.0
