method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
EB-offset hybrid: pairwise,207.6403076146497,0.9292329460249391,236.4163689266879,2.81249875293191e-14,3.2420345675829794e-14,0.04402897233245642,48.0,23
Naive respondents,200.73598181642174,-9.754196531041146,481.0,0.4492931736220456,0.24044811692484439,0.4722766111173026,0.0,24
OLS prediction,210.47990537720037,-0.01027297026251972,,,,,,24
EB main,208.97418633427887,-1.515992013184018,341.112842321857,3.5609126577708565e-12,0.3261658432455991,0.10462359753422984,0.0,24
EB pairwise,210.82990533669042,0.339726989227529,293.78560108962085,3.053754754659012e-11,4.3850114509994785e-11,0.03753077876854666,0.0,24
EB-offset hybrid: main,209.7774961190266,-0.7126822284362788,341.58862019438357,3.5565920106668735e-09,0.23940112742874808,0.06727559606186133,7.0,24
EB-offset hybrid: pairwise,210.94321745524476,0.4530391077818763,295.72864234213307,6.248950782608028e-16,9.725999099533025e-16,0.03934192787361348,2.0,24
Naive respondents,199.74742263197223,-10.018909379091156,515.0000000000001,0.44425401997329916,0.15571402487430233,0.46475256476151305,0.0,25
OLS prediction,210.9681219402015,1.2017899291381298,,,,,,25
EB main,209.46425295325648,-0.3020790578069068,347.8802167317326,1.0827399508737263e-15,0.21875698895128315,0.1217025505730752,0.0,25
EB pairwise,211.7682817916485,2.0019497805851074,309.44980116413853,1.2619581590687696e-12,2.8667856680298996e-12,0.06520617047881194,0.0,25
EB-offset hybrid: main,209.95004712082826,0.1837151097648757,336.67596244978307,6.857577392898915e-09,0.18737714725600033,0.09252027908919506,13.0,25
EB-offset hybrid: pairwise,211.57392655668147,1.8075945456180875,266.2992703927379,3.0857988503643658e-15,5.636845067513919e-15,0.06195012178602567,30.0,25
Naive respondents,197.250860824644,-11.408588236642174,495.9999999999997,0.44887265169030643,0.1555186303914347,0.4870528969781024,0.0,26
OLS prediction,208.17633891016433,-0.4831101511218492,,,,,,26
EB main,206.7286922327709,-1.9307568285152854,358.2425506019346,3.1792138000396043e-15,0.5733021635247579,0.11791872473972412,0.0,26
EB pairwise,206.45065768203375,-2.208791379252432,333.45264697296255,3.4805085607116343e-15,5.632526650880026e-15,0.16699821655557393,0.0,26
EB-offset hybrid: main,207.3081369271416,-1.3513121341445924,366.45861193186875,1.8781065891703048e-15,0.45934857922639477,0.10900444568535698,5.0,26
EB-offset hybrid: pairwise,207.0978637150203,-1.561585346265872,331.62105983376955,2.4424654668340767e-09,3.932511373447553e-09,0.14104288863620656,12.0,26
